H,V,C,x,y,Y,picture,R,G,B
2.5R,1,0,0.31,0.316,1.21,1.png,0.116215867179,0.110852802516,0.11955448237
2.5R,1,2,0.374,0.292,0.98,2.png,0.151800698994,0.075942705363,0.103336727544
2.5R,1,4,0.431,0.265,0.83,3.png,0.176464148008,0.0372724414174,0.0940420111261
2.5R,1,6,0.471,0.242,0.74,4.png,0.19285365024,0.00375407577521,0.0902014404767
2.5R,2,0,0.31,0.316,3.12,5.png,0.199066762199,0.191108525052,0.204020924251
2.5R,2,2,0.36,0.3,2.67,6.png,0.241911714551,0.152973333827,0.183950658948
2.5R,2,4,0.407,0.282,2.33,7.png,0.272483672945,0.113174105966,0.169101265834
2.5R,2,6,0.45,0.265,2.1,8.png,0.297524015072,0.0682115539465,0.158334619942
2.5R,2,8,0.488,0.248,1.91,9.png,0.317672346143,0.0033147051871,0.150354930141
2.5R,3,0,0.31,0.316,6.55,10.png,0.291059397378,0.280219637279,0.297807365193
2.5R,3,2,0.35,0.304,5.8,11.png,0.339467189347,0.239665179856,0.275443403794
2.5R,3,4,0.389,0.292,5.16,12.png,0.37394812668,0.198137547991,0.254966013281
2.5R,3,6,0.427,0.278,4.68,13.png,0.404780175027,0.152564754165,0.239961011998
2.5R,3,8,0.462,0.265,4.31,14.png,0.43030740904,0.0991155606036,0.22748854065
2.5R,3,10,0.496,0.252,3.97,15.png,0.452155443048,0.00526194890794,0.215722018259
2.5R,4,0,0.3101,0.3163,12.0,16.png,0.390216431862,0.376499080172,0.398602436619
2.5R,4,2,0.343,0.308,10.8,17.png,0.440093853413,0.333851303821,0.371900586813
2.5R,4,4,0.377,0.297,9.8,18.png,0.483225832009,0.28869137091,0.350261665161
2.5R,4,6,0.409,0.287,9.0,19.png,0.516624386853,0.244005538547,0.331020863243
2.5R,4,8,0.44,0.276,8.3,20.png,0.545522647092,0.193221819851,0.314666588858
2.5R,4,10,0.471,0.265,7.8,21.png,0.575424145661,0.129443208822,0.301421556797
2.5R,4,12,0.5,0.255,7.3,22.png,0.598384605583,0.0149666546667,0.287530247184
2.5R,5,0,0.31,0.316,19.7,23.png,0.492533925007,0.475383295843,0.50321053524
2.5R,5,2,0.34,0.311,18.3,24.png,0.551295303111,0.433994603184,0.474135239131
2.5R,5,4,0.369,0.303,16.7,25.png,0.594541079045,0.386659257206,0.447150721156
2.5R,5,6,0.398,0.295,15.4,26.png,0.63158196986,0.339280231101,0.422992426456
2.5R,5,8,0.427,0.286,14.3,27.png,0.665559594577,0.287782106076,0.402177394002
2.5R,5,10,0.455,0.277,13.4,28.png,0.696242829325,0.230660736799,0.384045801715
