H,V,C,x,y,Y,picture,R,G,B
2.5R,1,2,0.3768,0.2816,1.21,1.png,0.177596866966,0.0832659707995,0.12288321744
2.5R,1,4,0.4166,0.2569,1.21,2.png,0.213054557639,0.0541927638681,0.127737623333
2.5R,1,6,0.4515,0.2329,1.21,3.png,0.245872976507,0.00839914981898,0.134179516218
2.5R,2,2,0.3614,0.3033,3.126,4.png,0.261074409781,0.167948335716,0.197156190805
2.5R,2,4,0.4021,0.29,3.126,5.png,0.305235658135,0.14291381165,0.193509815468
2.5R,2,6,0.439,0.276,3.126,6.png,0.344058981961,0.110920245375,0.19147918187
2.5R,2,8,0.4776,0.2593,3.126,7.png,0.385179490552,0.052528171053,0.190954445731
2.5R,3,2,0.3591,0.313,6.555,8.png,0.363494712476,0.255102754043,0.279292625914
2.5R,3,4,0.4021,0.3076,6.555,9.png,0.418320940772,0.227982715333,0.264300539542
2.5R,3,6,0.4409,0.3009,6.555,10.png,0.464268361778,0.19717564935,0.251383693567
2.5R,3,8,0.4821,0.2918,6.555,11.png,0.511527010105,0.152286501041,0.238376533685
2.5R,3,10,0.5191,0.2811,6.555,12.png,0.55476641153,0.0831766056512,0.228300689769
2.5R,4,2,0.3461,0.315,12.0,13.png,0.459474473056,0.353713137396,0.380072105698
2.5R,4,4,0.3806,0.3125,12.0,14.png,0.517286138274,0.328916379296,0.362727735862
2.5R,4,6,0.4141,0.3085,12.0,15.png,0.569150596903,0.300541297779,0.346729593688
2.5R,4,8,0.4472,0.3031,12.0,16.png,0.61802725904,0.266316261628,0.331606261794
2.5R,4,10,0.4774,0.2969,12.0,17.png,0.661676223324,0.226383794042,0.318414249294
2.5R,4,12,0.5072,0.2897,12.0,18.png,0.704495903438,0.171950017336,0.305804454229
2.5R,4,14,0.5369,0.281,12.0,19.png,0.748231498086,0.0716539659612,0.294383379797
2.5R,5,2,0.336,0.3158,19.77,20.png,0.555501393016,0.456650173578,0.486540281834
2.5R,5,4,0.366,0.3148,19.77,21.png,0.61886464764,0.432063796171,0.466533247312
2.5R,5,6,0.396,0.313,19.77,22.png,0.676322167127,0.404617076993,0.446577093486
2.5R,5,8,0.4252,0.3101,19.77,23.png,0.729009759195,0.373735792306,0.427736324433
2.5R,5,10,0.4533,0.3058,19.77,24.png,0.778563633577,0.337790466893,0.410866779843
2.5R,5,12,0.482,0.3002,19.77,25.png,0.82848047937,0.291798939983,0.394375092089
2.5R,5,14,0.5047,0.295,19.77,26.png,0.867830774456,0.244497431599,0.381689707597
2.5R,5,16,0.53,0.288,19.77,27.png,0.912714597424,0.166158465886,0.368719600064
2.5R,6,2,0.3318,0.3166,30.05,28.png,0.659323545458,0.558646722404,0.591732081526
2.5R,6,4,0.3566,0.3163,30.05,29.png,0.722700824446,0.535441380563,0.571274982803
2.5R,6,6,0.3832,0.3158,30.05,30.png,0.783900791438,0.508792491569,0.54853978838
2.5R,6,8,0.4065,0.3144,30.05,31.png,0.834592144287,0.482617616365,0.529435792765
2.5R,6,10,0.432,0.3118,30.05,32.png,0.888148415683,0.449857453247,0.509434303745
2.5R,6,12,0.4568,0.3082,30.05,33.png,0.939164917532,0.412297900037,0.490878372473
2.5R,6,14,0.479,0.3041,30.05,34.png,0.98448906247,0.371813927676,0.474982613831
2.5R,7,2,0.3284,0.317,43.06,35.png,0.763313844544,0.661795745934,0.698696449383
2.5R,7,4,0.3499,0.3171,43.06,36.png,0.827988511689,0.639112632879,0.677482637474
2.5R,7,6,0.3728,0.317,43.06,37.png,0.890640574137,0.613522192894,0.654377588846
2.5R,7,8,0.3961,0.316,43.06,38.png,0.950743582003,0.584751175676,0.631767513795
