dataset,i,j,dv,drgb8
bfd_p-d65,1173,1198,1.02941,6
bfd_p-d65,1173,1232,1.11176,4
bfd_p-d65,1173,1197,1.13294,6
bfd_p-d65,1173,1187,1.15294,4
bfd_p-d65,1173,1166,1.09176,5
bfd_p-d65,1173,1195,1.01176,7
bfd_p-d65,1173,1225,1.25882,6
bfd_p-d65,1173,1186,1.08118,4
bfd_p-d65,1173,1145,1.16353,4
bfd_p-d65,1173,1141,0.916471,5
bfd_p-d65,1393,1375,1.14613,9
bfd_p-d65,1393,1404,1.15759,15
bfd_p-d65,1393,1410,1.08883,10
bfd_p-d65,1393,1363,0.939828,18
bfd_p-d65,1393,1353,1.13467,5
bfd_p-d65,1393,1355,1.26074,4
bfd_p-d65,1393,1358,1.28367,7
bfd_p-d65,1393,1370,1.15759,7
bfd_p-d65,1393,1389,0.931232,10
bfd_p-d65,1393,1381,0.825215,23
bfd_p-d65,1393,1388,1.04585,25
bfd_p-d65,1393,1362,1.28367,8
bfd_p-d65,1354,1311,1.37883,6
bfd_p-d65,1354,1331,1.24095,7
bfd_p-d65,1354,1351,1.461,7
bfd_p-d65,1354,1334,1.57939,4
bfd_p-d65,1354,1367,0.993036,2
bfd_p-d65,1354,1376,1.10306,3
bfd_p-d65,1354,1297,1.58078,5
bfd_p-d65,1354,1345,1.70334,8
bfd_p-d65,1354,1371,1.34401,3
bfd_p-d65,1354,1386,1.4415,4
bfd_p-d65,1354,1390,1.01393,3
bfd_p-d65,1522,1512,1.48248,3
bfd_p-d65,1522,1531,1.28032,2
bfd_p-d65,1522,1526,1.02426,2
bfd_p-d65,1522,1502,1.36119,4
bfd_p-d65,1522,1534,1.18598,2
bfd_p-d65,1522,1543,2.00809,3
bfd_p-d65,1522,1515,0.916442,3
bfd_p-d65,1564,1542,1.45233,3
bfd_p-d65,1564,1541,1.5255,4
bfd_p-d65,1564,1580,1.33592,4
bfd_p-d65,1564,1572,1.46674,3
bfd_p-d65,1564,1574,1.59756,7
bfd_p-d65,1564,1546,1.44457,2
bfd_p-d65,1564,1583,1.38027,6
bfd_p-d65,1564,1575,1.53991,7
bfd_p-d65,1564,1582,1.36475,5
bfd_p-d65,1564,1586,1.75721,4
bfd_p-d65,1564,1539,1.46674,3
bfd_p-d65,1564,1563,1.80044,8
bfd_p-d65,1564,1585,1.78603,6
bfd_p-d65,1528,1518,1.90291,4
bfd_p-d65,1528,1510,1.98058,6
bfd_p-d65,1528,1498,1.70874,4
bfd_p-d65,1528,1538,2.13592,5
bfd_p-d65,1528,1523,1.87379,4
bfd_p-d65,1528,1520,1.80583,3
bfd_p-d65,1528,1547,2.19417,5
bfd_p-d65,1528,1535,1.38835,5
bfd_p-d65,1528,1554,1.35922,5
bfd_p-d65,1528,1493,2.75728,7
bfd_p-d65,1431,1401,1.72619,13
bfd_p-d65,1431,1407,2.01935,19
bfd_p-d65,1431,1429,1.48512,4
bfd_p-d65,1431,1433,1.53571,9
bfd_p-d65,1431,1443,1.5878,13
bfd_p-d65,1431,1442,1.5625,6
bfd_p-d65,1431,1406,1.5625,15
